primary_name,Customer Type,Period Name,Food Type,Week Name,Total Amount,Slot Timing From,Slot Timing To,city
T Nagar Bazullah Road,Child,Dinner,VEG,FRIDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,SATURDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,TUESDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,THURSDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,THURSDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Child,Lunch,VEG,MONDAY,429,11:30:00,16:00:00,Chennai
T Nagar Bazullah Road,Child,Dinner,VEG,MONDAY,429,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,SUNDAY,899,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,SUNDAY,999,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,SUNDAY,899,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,SUNDAY,999,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,MONDAY,699,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,MONDAY,749,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,MONDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,MONDAY,749,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,TUESDAY,699,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,TUESDAY,699,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,TUESDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,TUESDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,WEDNESDAY,699,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,NON-VEG,WEDNESDAY,749,11:30:00,18:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,VEG,WEDNESDAY,699,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Dinner,NON-VEG,WEDNESDAY,749,18:30:00,23:00:00,Chennai
T Nagar Bazullah Road,Adult,Lunch,VEG,THURSDAY,699,11:30:00,18:00:00,Chennai
